가드닝	생활 원예
숍 마스터	매장 담당, 매장 담당자
숍 인 숍	어울가게
수출 셰어	수출 점유율
슈 메이커	신발 제작자
슈퍼 리치	거부, 초부호
슈퍼 사이클	장기 호황
슈퍼 체인	대형 연쇄점, 대형 잡화 연쇄점
슈퍼바이저	감독자, 관리자
스낵 컬처	자투리 문화
스냅	똑딱단추
스냅 사진	순간 사진
스마트 공장	지능형 공장
스마트 공항	지능형 공항
스마트 국방	지능형 국방
스마트 그리드	지능형 전력망
스마트 글라스	지능형 안경, 지능형 전광 유리
스마트 도시	지능형 도시
스마트 러닝 팩토리	지능형 실습 공장
스마트 머니	단기 이동성 자금
스마트 모빌리티	1인 전동차, 지능형 이동 수단
스마트 병원	지능형 병원
스마트 빌딩	지능형 건물
스마트 빌리지	지능형 마을
스마트 센서	지능형 감지기
스마트 스토어	지능형 가게
스마트 시티	지능형 도시
스마트 에너지	지능형 에너지
스마트 오피스	지능형 사무실
스마트 워크	원격 근무
스마트 인프라	지능형 기반, 지능형 기반 시설
스마트 팜	지능형 농장
스마트 팜 혁신 밸리	지능형 농장 혁신 단지
스마트 팩토리	지능형 공장
스마트 헬스케어	지능형 건강 관리
스마트 홈	지능형 가전 가구
스마트화	인공 지능화, 지능화
스모킹 건	결정적 증거
스몰 딜	부분 합의, 작은 협상
스몰 라이선스	소규모 인허가
스미싱	문자 사기, 문자 결제 사기
스와프	맞교환, 교환, 통화 맞교환, 국가 간 통화 맞교환
스와핑	맞교환, 교환, 통화 맞교환, 국가 간 통화 맞교환
스위치히터	양손 타자
스위칭	전환, 바꾸기
스윔슈트	수영복
스윙	휘두르기, 채 휘두르기, 팔젓기, 몸 비틀기
스카이 브리지	구름다리
스케일 업	규모 확장, 확장, 확대
스케줄러	일정표
스크랩북	자료 모음책
스크립터	촬영 기록자, 구성 작가
스키드 마크	타이어 자국, 타이어 밀린 자국
스킬	대인 관계 기술
스타덤	인기 대열
스타디움	경기장
스타트업	새싹 기업, 창업 초기 기업, 신생 기업
스타플레이어	인기 선수
스태그플레이션	불황 속 물가 상승
스탠더드	국제 표준, 국제 기준
스탠더드 넘버	대중 명곡
스탠드스틸	이동 제한, 현상 동결, 현상 동결 합의
스탠스	자세, 입장, 태도
스탬프 투어	도장 찍기 여행
스테디 트렌드	안정된 경향
스테디셀러	꾸준 상품
스토리 북	이야기책, 동화책
스토리라인	줄거리 선, 기본 줄거리
스토리보드	줄거리판, 이야기판
스토리지	저장 장치, 기억 장치, 저장소
스토리텔링	이야기하기
스톡옵션	주식 매수 선택권
스톱 모션	정지 동작, 정지 동작 촬영
스톱오버	경유지 체류
스튜어드십 코드	의결권 행사 지침
스트라이프	줄, 줄무늬
스트라이프 패턴	줄무늬
스트레이트 뉴스	단신, 직접 뉴스
스트롱 맨	권위적 지도자, 독재자
스트리밍	바로 재생, 실시간 재생
스트리트 패션	거리 패션
스트립	원금 이자 분리 채권, 연속 만기 도래 증권 발행
스트링	문자열, 끈
스티밍	열처리
스틸 컷	정지 화면, 사진
스팀 타월	찜질 수건, 김 수건
스파크	불꽃
스파클링	탄산
스팽글	반짝이
스퍼트	막판 힘내기, 끝판 힘내기, 역주, 전력 질주
스페셜 이펙트	특수 효과
스페셜리스트	전문가
스페셜티 스토어	전문점
스페이스	열린 제작실
스펙트럼	색깔, 층, 파장
스포일러	영화 헤살꾼, 줄거리 폭로자
스폿	다면, 다중, 다각도
스폿 뉴스	초점 뉴스, 반짝 뉴스
스폿 아이템	반짝 상품
스프린트 게임	단거리 경기, 스프린트 경기
스핀오프	회사 분할, 파생작
슬래브	바닥판, 평판
슬랙스	긴바지
슬러거	강타자
슬럼가	빈민가
슬로 시티	참살이 도시
슬로프	활주로, 스키 활주로
슬리브	소매
슬림핏	날씬태, 날씬맵시
슬림화	조직 감축, 감축, 축소
슬립 다운	미끄러져 넘어짐
시그니처	전자 서명
시그니처 아이템	대표 상품
시놉시스	줄거리, 개요
시드 머니	종잣돈, 투자 기금
시드 뱅크	종자 은행
시뮬레이터	모의실험 장치, 모의실험기
시스루	비침 옷
시스템 키친	일체형 부엌 가구, 일체형 주방 가구
시스템 트레이딩	자동 매매
시즈닝	양념
시즌 오프	계절 마감, 계절 할인
시티 라이프	도시 생활, 도시살이
시티 룩	도시풍
시티 뷰	도시 전망
식스 맨	우수 후보 선수, 여섯 번째 선수
신스틸러	명품 조연
실러버스	강의 계획, 강의 계획서
실버 비즈니스	경로 산업
실버 시터	어르신 도우미, 경로 도우미
실버 존	노인 보호 구역
심벌	상징, 상징 기호
심벌리즘	상징주의
심벌마크	상징 표시, 상징 표지, 상징표
심포니	교향악
심포니 오케스트라	교향악단
심포지엄	학술 토론회, 학술 토론 회의, 집단 토론 회의
싱글 매치	일대일 경기
싱글 윈도 시스템	통관 단일 창구제
싱크 탱크	두뇌 집단, 참모 집단
싱크홀	땅꺼짐, 꺼진 구멍, 함몰 구멍
싱킹 현상	함몰, 함몰 현상, 꺼짐, 꺼짐 현상
아듀	안녕
아로마 다이어트	향기 건강법
아로마 세러피	향기 요법
아르 누보	신예술
아미 룩	군복풍, 육군복풍
아바타	분신, 가상 인물
아방가르드	전위, 선구자
아우라	기품
아웃 웨어	야외복
아웃 포커싱	배경 흐리기
아웃라이어	독특한 사례
아웃리치	현장 봉사, 현장 지원 활동
아웃바운드	전화 방문 영업, 외국행, 해외여행
아웃소싱	외주, 위탁, 외부 용역, 외부 위탁, 외부 조달
아웃풋	출력
아이덴티티	상표 정체성, 상표 일체감, 상표 이미지, 통합 상표 이미지, 브랜드 이미지
아이스 브레이킹	어색함 풀기, 서먹함 깨기, 서먹함 풀기
아카이브	자료 보관소, 자료 저장소, 기록 보관소, 기록 보관
아카이빙	자료 보관, 자료 전산화, 기록 보관, 자료 저장
아케이드	연쇄 상가, 연립 상가
아키텍처	건축, 설계, 설계 구조, 시스템 구성
아트 마켓	예술 시장
아트 페스티벌	예술 축전, 예술 축제
아트 페어	미술 전람회
아틀리에	작업실, 제작실
아티스틱 디렉터	예술 감독
안테나 숍	전략 점포, 시장 조사 점포
안티사이트	반대 사이트
안티에이징	노화 방지
알고리즘	셈법, 연산 방식, 풀이 흐름
알비노	백색증, 백화 개체
암홀	진동
앙상블	합주단, 조화
앙케트	설문 조사
애널리스트	분석가, 증시 분석가
애니멀 호더	동물 수집꾼
애니메이터	만화 영화가
애드벌룬	광고 풍선, 광고 기구
애버리지	평균
애시 그레이	잿빛, 회색
애시 블루	회청색
애프터 마켓	후속 시장
애플리케이션 프로그램	응용 프로그램
액세스	접근, 접속
액셀러레이터	새싹 기업 육성 기관, 창업 초기 기업 육성 기관, 창업 기획자
액셀러레이팅	육성, 창업 기획
액션 미팅	활성화 모임
액션 페인팅	행위 그림, 행위 예술
액션 플랜	실행 계획, 세부 계획
액자 프레임	그림틀
액티브 에이징	활기찬 노년
액티비티	활동
앤티크	고풍
앰부시 마케팅	간접 판촉
앰비슈머	가치 소비자
앰프	확성기, 확성 장치
앵커 기업	선도 기업, 중심 기업
앵커 숍	거점 매장
앵커 시설	종합 지원 시설
어닝 서프라이즈	실적 급등, 실적발 주가 상승, 호실적 주가 상승, 깜짝 실적
어닝 쇼크	실적 충격, 실적발 주가 하락, 악실적 주가 하락
어덜트	성인, 성인 시장
어드바이스	도움말, 조언, 충고
어반 라이프	도시 생활
어반 아트리움	문화 상업 가로, 도시 문화 상업 가로
어뷰징	① 조회 수 조작 ② 부정 행위 ③ 남용 ④ 도배질, 베끼기
어시스턴트	① 부심 ② 보조원, 보조
어워드	상, 시상식
어젠다	의제, 가치관
어트랙션	구경거리, 명소, 놀이 기구
어패럴	의복, 의류
어패럴 메이커	의복 제조업, 의류 업체
언더그라운드	장외, 지하
언더독	약자, 약자 효과
언더라인	밑줄
언더스터디	대기 배우
언더패스	아래 차로
언로더	짐부림틀
언론 플레이	여론 몰이
언박싱	개봉, 개봉기
언택트	비대면
언터처블	손댈 수 없는, 대단한
얼라이언스	동맹, 연합체, 동맹 단체, 연합
얼리 버드	조기 할인, 앞선 구매자
얼리 어답터	앞선 사용자
얼터너티브	대안
엄파이어	심판
업 스타일	올린머리
업로딩	올리기, 게시
업사이클	새 활용
업스트림	위 흐름, 위 단계 흐름, 윗단계 흐름
에너지 바우처	에너지 상품권, 에너지 사용권
에듀 컬처 콘텐츠	교육 문화 콘텐츠
에듀테인먼트	놀이식 교육, 놀이 학습
에듀테크	교육 기술
에디션	한정품, 한정판
에디터	편집자, 편집기
에디트	편집
에볼루션	진화
에스닉	민속복, 민속풍, 민족 전통의
에어 서큘레이터	공기 순환기
에어 워셔	공기 세척기, 공기 세정기
에어 캡	뽁뽁이
에어 커튼	공기 커튼, 공기 조절, 공기 조절 장치
에어 클리너	공기 거르개, 공기 청정기
에어 택시	비행 택시, 항공 택시
에어컨디셔너	냉난방기, 공기 조절기
에이전시	대행사
에이전트	대리점, 대리상, 대리인, 대행인
에이징	건식 숙성
에지 컴퓨팅	분산 서버 실행, 실시간 데이터 처리
에코 드라이빙	친환경 운전
에코 디자인	친환경 디자인
에코 마일리지	환경 적립금, 친환경 적립금
에코 힐링	자연 치유
에필로그	끝말, 후기, 맺음말, 맺음 영상
엑소더스	탈출, 대이동
엑스포	미용 국제 박람회
엔드 라인	끝줄, 뒷줄
엔딩 크레디트	끝자막, 맺음자막
엔지니어링	공학, 기술 개발
엔트리	참가자 명단, 선수 명단, 출전 선수 명단
엠바고	① 보도 유예 ② 금수 조치
엠블럼	상징, 상징표
옐로 카펫	건널목 안전 구역, 어린이 횡단보도 대기소
오가노이드	장기 유사체, 유사 장기
오가닉	유기농, 유기체
오너 리스크	경영주발 악재, 기업주 위험, 독단 경영 위험
오너드라이버	손수 운전자
오디언스	시청자, 청취자, 청중, 관객
오디오 가이드	음성 안내, 음성 안내기
오리엔탈 드레스	동양풍 드레스, 동양풍 옷
오리엔탈 스타일	동양풍
오리엔탈리즘	동양주의
오마주	헌정 인용
오버 페이스	무리
오버독	강자
오버랩	겹침
오버랩핑	겹치기, 중복
오버로드	과부하
오버부킹	초과 예약
오버슈즈	덧신발
오버웨이트	과다 보유, 중량 초과, 비중 확대
오버코트	외투
오버행	물량 부담
오버홀	재생 수리, 완전 분해 수리
오브제	물체, 물건, 대상
오브젝트	목적, 객체, 사물, 물건
오서독스	전통적, 정통적
오션 뷰	바다 전망
오일 쇼크	석유 파동
오일볼	기름 뭉치
오일펜스	기름 막이, 기름 차단막
오일허브	석유 집산지
오토 레이스	자동차 경주
오토 프로그램	자동 프로그램
오토캐드	자동 설계, 자동 전산 설계
오토캠핑	자동차 야영
오트 쿠튀르	고급 의상점, 고급 의상, 고급 맞춤복, 고급 의상 박람회, 고급 맞춤복 박람회
오퍼레이터	운영자
오퍼상	판매 알선업자, 판매 확약업자
오프 더 레코드	비보도, 비보도 기자 회견
오프 시즌	비경기철
오프너	병따개, 따개
오프숄더	맨어깨
오픈 뱅킹	공동망 금융 거래, 은행 통합 거래
오픈 뱅킹 플랫폼	공동망 금융 거래 체계, 은행 통합 거래 체계
오픈 베타	공개 시험
오픈 소스	무료 자원, 자원 개방, 공개 자료
오픈 스카이	항공 자유화
오픈 이노베이션	개방형 혁신, 개방형 혁신 전략
오픈 캠퍼스	기관-대학 협력 교육, 공개 교실
오픈 키친	개방형 주방
오픈 프라이머리	국민 경선, 국민 경선제
오픈 플랫폼	개방형 작업 공간
오피니언 리더	여론 주도자, 여론 주도층
온 디맨드	주문형
올 오버 페인팅	균질 그림
옴니버스	모음, 모음집
옴니채널	통합 유통망
옴부즈맨	민원 도우미
옵서버	원양 어선 감시 관찰자
옵아트	광학 미술
옵티컬 일루전	착시
와레즈 사이트	불법 소프트웨어 사이트
와이어 브러시	쇠솔
왜건	유아 수레, 수레
왝 더 독	본말 전도
외교파우치	외교 행낭
울트라미니	초미니
워 게임	군사 연습 모의 전쟁
워드 마크	글자 상징
워라밸	일삶균형, 일과 삶의 균형
워셔블	물세탁 가능, 물세척 가능
워셔블 슈트	물빨래 옷, 물빨래 양복
워커홀릭	일 중독자, 일벌레
워크 아웃	기업 회생 작업, 기업 개선 작업, 신용 회복
워크북	익힘책
워크셰어링	일자리 나누기
워키토키	휴대용 무전기
워킹 그룹	실무단, 실무 협의단
워킹 대디	일하는 아빠, 직장인 아빠
워킹 슈즈	산책화
워킹 투어	걷기 여행
워킹 푸어	근로 빈곤층
워킹 홀리데이	관광 취업
워터 스크린	수막 영상
워터 프런트	수변, 물가
워터마크	식별 무늬, 복제 방지 무늬
워터마킹	식별 무늬, 복제 방지 무늬
원 스트라이크 아웃	즉시 퇴출, 즉시 퇴출제
원 클릭	한 번 접속, 일 회 접속, 단건, 단번 처리
원 포인트	단건 집중, 단건, 요점, 한 곳
원데이 클래스	일일 강좌
원샷 플레이	마지막 공격
원스톱	일괄, 통합, 한자리
웜업	예열
웨어러블	착용 가능
웨어러블 스마트 디바이스	착용하는 스마트 기기, 착용 가능 스마트 기기
웨이트 트레이닝	근력 훈련, 근력 강화 훈련
웨이팅	기다림, 대기
웨이팅 서클	타자 대기석
웨이팅 타임	기다림 시간, 대기 시간
웨이퍼	회로판
웨트 에이징	습식 숙성
웰니스	건강 관리
웰메이드 플레이	잘 꾸며진 극
웹진	누리 잡지, 인터넷 소식지
위그선	수면 비행 선박
위너	승자
위크	황금 주간
위트	재치, 기지
윈드 시어	급변풍, 돌풍
윈드 재킷	바람막이, 바람막이 옷
윈드브레이커	바람막이 옷
유니버설 디자인	범용 디자인
유니섹스	남녀 겸용
유니콘 기업	거대 신생 기업
유저	다회용 컵
유저 인터페이스	사용자 환경
유커	중국 관광객, 중국인 관광객
유턴 기업	귀환 기업, 선회 기업
의료 텔레메트리	화상 처치 체제, 원격 화상 처치 체제
이 러닝	인터넷 학습, 온라인 학습
이 북	전자책
이 커머스	전자 상거래
이그조틱	이국풍
이너 서클	핵심층, 패거리
이노베이션	개방형 혁신, 개방형 혁신 전략
이노베이션 랩	기술 혁신 연구소
이노베이터	혁신자
이노비즈	혁신형 중소기업
이니셔티브	주도권, 구상, 발의
이머징 마켓	신흥 시장
이메일 리스트	전자 우편 주소 목록
이메일 마케팅	전자 우편 판촉
이미테이션	모조, 모방, 흉내
이스터 에그	숨은 뜻, 숨은 재미, 숨은 메시지, 숨은 기능
이스트	작명가, 이름 설계사
익스트림 스포츠	극한 스포츠
인덱스 펀드	지수 연동형 기금
인도어 링크	실내 스케이트장
인도어 테니스	실내 테니스
인디 영화	독립 영화, 저예산 독립 영화
인디케이터	지시기, 지시계
인력 풀	인력 자원, 인력 은행, 후보군
인바운드	국내
인벤토리	목록
인보이스	송장, 보냄표
인스톨	설치
인스트럭터	강사, 지도자, 강습자
인스피레이션	영감
인저리	부상
인저리 타임	추가 시간
인큐베이팅	창업 보육, 육성, 보육
인큐베이팅 펀드	창업 보육 자금
인터내셔널	국제, 국제적
인터랙션	상호 작용
인터랙티브	쌍방향, 양방향, 대화형
인터벌	휴식 시간, 간격
인터셉트	가로채기
인터체인지	나들목
인턴십	실습 사원제, 실습 사원 제도, 직무 실습
인텔리	지식인, 지식층
인트라넷	내부 전산망
인포 이미징	영상 정보
인포그래픽	정보 그림
인포메이션	정보, 안내
인포테인먼트	정보 오락 프로그램
인풋	입력
인프라	친환경 기반 시설, 녹색 기반 시설
인프라 펀드	기반 시설 기금
인플레이션	물가 오름세
인플렉션	억양, 어조
인플루언서	영향력자
인하우스	계열사, 조직 내부의
일러스트	삽화, 도안
일렉트로닉 뱅킹	전자 금융
임베디드	내장형
입시 컨설팅	입시 상담
잇 아이템	매력 상품
잡 네트워킹	일 연계망, 일 연계망 형성, 일자리 연계망, 일자리 연계망 형성
잡 매칭	일자리 연결
잡 서치	직업 탐색
잡 카페	취업 카페, 취업 상담소
잡 페스티벌	일자리 한마당, 취업 박람회
저널	언론, 학술지, 시보
저널리스트	언론인
저널리즘	언론, 언론 문화, 언론 사업
전자 바우처	전자 이용권
정크 아트	폐물 예술, 폐품 예술, 쓰레기 미술
정크 푸드	부실 음식, 부실 식품
제너레이터	발전기
제네릭	복제약
제로 데이	취약점 선제 공격
제로 레이팅	사용료 우대 정책
제로 베이스	백지 상태, 원점
제로 에너지	에너지 자급, 에너지 자급 자족, 에너지 절감
제로 이코노미	성장 멈춤 경제
제로섬	합계 영
제로섬 게임	실익 없는 짓, 실익 없는 경쟁
제로화	없애기, 줄이기, 예방
젠더	성, 성 인지, 성평등, 성별
젠트리피케이션	둥지 내몰림, 원주민 내몰림
조인트	합동, 연합
조인트 벤처	합작 투자
조크	농담, 우스개
주니어 보드	청년 중역 회의
지소미아	군사 정보 보호 협정, 한일 군사 정보 보호 협정
차이니즈 칼라	중국깃, 중국옷깃
차일드 웨어	아동복
찬스 메이커	득점 조력자
찬스 메이킹	기회 만들기
챌린저	도전자
챕터	분야, 장
챗봇	채팅 로봇
체인 스토어	연쇄점
체인지 메이커	혁신가
치어 리딩	응원
치킨 게임	끝장 승부
카 셰어링	자동차 공유, 자동차 공유 서비스
카고	짐, 화물
카고 십	짐배, 화물선
카드 론	카드 대출
카드 리더	카드 판독기
카디즈	한국 방공 식별 구역
카라반	① 캠핑카, 이동식 주택 ② 투자 현장 방문단
카르텔	담합, 범죄 조직
카메라 워크	촬영 기법
카메오	깜짝출연, 깜짝출연자
카운슬러	상담자, 교도 교사
카운슬링	상담
카운터블로	받아치기
카운터파트	상대방
카운터펀치	받아치기, 반격, 역습
카이스트	한국과학기술원
카타르시스	정화
카피라이터	광고 작가, 광고 문안가
카피라이트	저작권
칼럼니스트	시사 평론가, 특별 기고가
캐노피	덮지붕
캐드	자동 설계, 자동 전산 설계
캐디	경기 보조원
캐리커처	풍자화
캐릭터 브랜드	개성 상표, 특성 상표
캐비테이션	공동 현상
캐셔	계산원, 수납원
캐스트	배역
캐스팅 디렉터	배역 감독
캐스팅 보트	결정권, 결정표
캐시 카드	현금 카드
캐시 카우	돈줄, 금고
캐시 플로	현금 흐름
캐처	포수
캐치	잡기, 공 잡기
캐치 업	따라 잡기
캐치프레이즈	구호, 선전 구호
캐포츠	활동 기능복
캐피털	벤처 투자사, 벤처 기업 자본, 벤처 투자 자본
캘리그래피	멋 글씨, 멋 글씨 예술
캠퍼스 리크루팅	교내 채용 설명회
캠퍼스 타운	대학촌, 대학 거점 도시
캠페스트	야영 축제
캡션	설명, 짧은 설명문
캡스톤 디자인	창의적 종합 설계
커넥션	결탁, 연계, 야합
커넥터	접속기
커넥티드	연결, 통신 연결
커넥티드 시티	통신 연결 도시
커넥티드 카	통신 연결 차량
커넥티비티	통신 연결성
커리어	경기 경력
커리어 우먼	전문직 여성
커리큘럼	교과 과정, 교육 과정
커머스	전자 상거래
커뮤니티 맵	참여형 지도 제작
커뮤니티 시어터	지역 연극
커뮤니티 케어	지역 사회 돌봄, 지역 사회 통합 돌봄, 더불어 돌봄, 공동체 돌봄
커미션	수수료, 구전
커버리지	범위, 맡은 범위, 대역, 수신 가능 지역
커버스토리	표지 기사
커스터마이즈	맞춤
커스터마이징	맞춤, 맞춤 제작, 맞춤 상품, 맞춤 디자인
커터기	자르개
커튼콜	부름갈채
커플러	연결기
컨버전	전환, 변환, 개조
컨버터	이중 변환기, 이중 역병렬 변환기
컨버팅	변환
컨베이어	운반, 운반기
컨베이어 벨트	자동 운반대
컨벤션	대회, 전시, 행사
컨벤션 뷰로	회의 사무국, 국제회의 전담 조직, 국제회의 사무국, 국제회의 지원 조직
컨벤션 효과	행사 효과
컨설턴트	상담사
컨설팅	결혼식 상담 업체, 결혼식 상담 회사
컨소시엄	협력체, 연합체, 협력 모임
컨트롤 보드	조정판
컨트롤 타워	지휘 본부, 사령탑, 통제탑
컨트롤러	조정기, 제어 장치
컨트리 리스크	국가별 위험도
컨트리클럽	골프장
컨트리풍	시골풍, 전원풍
컨티넨탈 챔피언십	대륙 간 선수권 대회
컨틴전시 플랜	비상 계획
컨플릭트	갈등, 이해 충돌, 이익 충돌
컬덕트	문화 융합 상품
컬러 매치	색 배합
컬러 푸드	색깔 먹거리, 색깔 식품
컬러 필터	색 필터, 착색 필터
컬러리스트	색채 전문가
컬렉션	수집품, 발표회, 의상 발표회
컬트	소수 취향
컴퓨팅	컴퓨터 연계 활용
컴프레서	압축기, 압착기, 강우기
컴필레이션	선집, 모음집
컵 홀더	컵걸이
컷오프	탈락, 공천 배제, 예비 경선
케미컬	화학, 화학 합성
케어 플랜	돌봄 계획, 복지 계획, 간호 복지 계획
케이스 스터디	사례 연구
케이크 커팅	자르기, 케이크 자르기
케이터링	출장 음식, 출장 연회
코덱스	국제 식품 규격, 국제식품규격위원회
코드 셰어	공동 운항
코드 인사	편향 인사, 성향 인사
코디네이션	① 조화, 배합 ② 의상 연출
코마	대칭복사
코멘테이터	해설자
코믹 터치	익살풍, 희극적 기법
코스메틱	화장품
코스튬 주얼리	패션 모조 보석
코스튬 플레이	의상 연출, 의상 연기
코스프레	① 행세 ② 분장 놀이
코워킹	협업, 공동 작업
코워킹 스페이스	협업 공간
코즈모폴리턴	세계주의자
코칭	맞춤 지도
코튼	면, 면직물, 목화, 솜
콘덴서	축전기, 축전지
콘솔	조종대
콘솔 박스	정리함
콘시어지	총괄 안내, 총괄 안내인
콘택트 포인트	연락처, 연락 창구
콘텍스트	맥락, 문맥
콘트라스트	대비
콘퍼런스	대규모 회의, 학술회의, 학술 대회
콘퍼런스 콜	화상, 통신 회의, 전화 회의
콜드 체인	저온 유통, 냉장 운반 보관
콤비 플레이	호흡 맞추기
콤비네이션	조합, 짝, 호흡 맞추기
콤팩트	압축, 간편
쿨다운	냉각
쿨링 포그	안개형 냉각, 안개형 냉각수, 안개 분사기
쿨링오프	계약 철회 보증, 계약 철회 보증 제도
쿼터	한도량, 배당량, 할당
쿼터 파이널	준준결승
쿼터제	할당제, 의무 할당제, 의무 배당제
큐레이션	추천, 정보 추천
큐레이션 서비스	추천 서비스, 정보 추천 서비스
큐레이터	전시 기획자, 학예사
큐비즘	입체파, 입체주의
크라우드 펀딩	대중 투자
크라우드소싱	대중 참여 제작, 대중 참여 생산
크라이시스	위기
크래시 헬멧	안전모
크래프트 맥주	수제 맥주
크랙	균열, 갈라짐
크랭크 인	촬영 시작, 촬영 개시
크레디트 라인	신용 한도
크레디트 카드	신용 카드
크레디트 타이틀	소개 자막, 영화 소개 자막
크레바스	빙하 균열, 빙하 틈, 공백, 틈
크로스 라이선스	특허 교환, 특허 교환권
크로스 핏	고강도 복합 운동
크로스오버	교차 융합, 융합, 넘나들기
크로스컨트리	지구력 경기, 산야 경기
크리에이터	지역 가치 창출가, 지역 가치 창업가, 지역 창업가
크리에이티브	창조적, 독창적
클라우드	자원 공유, 인터넷 기반 자원 공유
클라우드 서비스	인터넷 자원 공유 서비스, 인터넷 기반 자원 공유 서비스
클래시시즘	신고전주의
클래식 스타일	고전 양식, 고전적 양식
클랙슨	경음기, 경적
클러스터	생명 공학 협력 단지
클럽 하우스	골프장 본관
클레임	손해 배상 청구, 이의 제기
클로버	토끼풀
클로징	마무리, 맺음
클로징 멘트	맺음말
클리닝 타임	정리 시간
클리어런스 세일	재고 할인, 재고 할인 판매, 떨이 판매
클리핑	추림, 뽑아냄, 오려 모음
클린 디젤	저공해 디젤
클린 룸	청정실
클린 서포터스	청렴 홍보단
클린 에너지	청정 에너지
클린 이팅	자연식
클린 존	안전 지역, 청정 지역, 선도 지역, 선도 대상 지역, 모범 지역
클린도	청정도
키 맨	중추 인물, 핵심 인물
키 플레이어	핵심 인물, 핵심 인사, 핵심 선수
키네틱 아트	동작 예술, 동적 예술
키오스크	무인 안내기, 무인 단말기, 무인 주문기, 간이 판매대, 간이 매장
키트	구호 도구, 구호 도구 모음, 구호 도구 꾸러미, 구호 상자
키패드	자판, 숫자 판
킥오프 회의	첫 회의, 첫 기획 회의
킬러 콘텐츠	돌풍 콘텐츠, 핵심 콘텐츠
타깃 마케팅	주요 판촉, 중점 판촉
타깃 하드닝	방범 시설 강화
타운 웨어	외출복, 나들이옷
타운 홀 미팅	주민 회의, 구성원 회의, 주민 참여 공개 회의
타이 브레이크	동점 끝내기
타이트	빡빡한, 팽팽한
타이틀 매치	선수권전
타이틀리스트	선수권자, 타이틀 보유자
타이틀전	선수권전
타이프 문서	타자 문서
타이피스트	타자원
타임 레이스	기록 경기
타임 슬립	시간 여행
타임 오프제	근로 시간 면제 제도, 근무 시간 인정 제도
타임 테이블	시간표
타임래그	시차
타투	문신
타투이스트	문신사
태그	생명 팔찌
태스크	작업
태스크 포스	전담반, 전담 조직, 특별 전담 조직, 특별팀, 전담팀
탱크로리	용기 적재차
터닝 포인트	전환점
터치라인	옆줄
터치라인 아웃	옆줄 나감, 옆줄 밖나감
터치스크린 패널	접촉 화면 판
턴 오버	① 총매출 ② 회전율 ③ 실책
턴키	일괄, 한목, 일괄 발주
테넌트	핵심 점포
테니스 엘보	팔꿈치 통증
테니스 웨어	테니스복
테라피	향기 요법
테마 브리핑	주제 보고
테마주	화제주
테스터	체험 평가자
테스트 마켓	시험 시장
테스트 베드	가늠터, 시험대, 성능 시험장
테스트 스크리닝	미리 보기
테스트 이벤트	시험 경기, 시험 행사
테이블 매너	식사 예절
테이저건	전기 충격총
테이크 오프	이륙
테이퍼링	양적 완화 축소
테이프 커팅	줄 자르기, 색줄 자르기
테크	국제 금융 기술
테크노폴리스	첨단 산업 연구 도시
테크놀로지	과학 기술
테크니션	기교파, 기술자
테크핀	금융 기술, 기술 기반 금융
테트라포드	네발 방파석, 파도막이 돌
텍스처	질감, 재질감
텍스타일	직물, 섬유, 실
텍스트	연결 문서
텔레마케팅	전화 판매, 통신 판매
텔레매틱스	원격 서비스, 차량 무선 인터넷 서비스, 차량 내 무선 인터넷
템플 스테이	절 체험, 사찰 체험
토털 서비스	종합 서비스
토털 솔루션	종합 해결책
토털 시스템	종합 체계
토털 패션	종합 패션, 모듬 맵시
톱 브랜드	유명 상표
톱기사	머리기사
톱다운	하향식
투 톱	두 주공격수, 쌍두, 2인, 두 사령탑
투 트랙	양면, 두 갈래, 이원화
투어 코스	여행길, 관광 코스
투어 콘서트	순회 공연
투어리즘	친환경 관광
투웨이	이원적
툴바	도구 막대
툴키트	연장 모음, 도구 모음
튜닝 차	개조 차
튜터리얼	지침, 지침서
튜토리얼 세션	특강 시간, 분야별 발표
트라이아웃	실력 점검, 공개 선발 시험
트래디셔널 룩	전통풍
트래블러	여행자
트래이딩 플로어	거래장, 매매장
트래킹	도보 여행, 걷기
트래픽	소통량, 교통, 통화량
트래핑	사다리 놓기, 공 다루기
트랙	구경거리, 명소, 놀이 기구
트랙 레코드	기록, 실적, 경력
트랜스	변압기
트랜스미디어	매체 융합
트램	전차, 노면 전차
트랩	위장 폭탄
트레이	단타 매매, 초단타 매매
트레이 페이퍼	쟁반 종이, 쟁반 깔지
트레이드	지역형 공정 무역
트레이드 머니	이적료
트레일	예고편
트렌드 컬러	유행색, 경향색, 패션 경향색
트렌드세터	유행 선도자
트로이카	삼두마차, 삼두 체제, 삼인방
트로피컬 룩	열대풍
트리 포트	화분
트리거	방아쇠
트리거 광고	유인 광고
트리밍	바로 재생, 실시간 재생
트릭 아트	착시 예술, 착시 그림, 눈속임 예술, 눈속임 그림
티 테이블	차 탁자
티저 포스터	예고 포스터
티처 보이	교사 의존 학생
티핑 포인트	급변점
틴에이저	청소년, 십대
틸팅 열차	준고속 열차
팀 닥터	전담 의사, 팀 전담 의사, 전속 의사, 팀 전속 의사, 팀 주치의
팀 빌딩	팀 단합, 조직 강화
팀 컬러	팀 색깔, 팀 특징, 팀 성향
파노라마 선루프	전면 지붕창
파라미터	매개 변수
파밍	인터넷 금융 사기
파빌리온	전시관, 가설 건물
파우더 룸	화장방
파우치	외교 행낭
